taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5401508	Emilia fosbergii Nicolson	5401508	Emilia fosbergii Nicolson	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Emilia	3137995	Emilia fosbergii	5401508	NE
5398689	Mikania cordifolia (L.fil.) Willd.	5398689	Mikania cordifolia (L.fil.) Willd.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Mikania	7722389	Mikania cordifolia	5398689	NE
7284839	Erythroxylum campestre A.St.-Hil.	7284839	Erythroxylum campestre A.St.-Hil.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Erythroxylaceae	6686	Erythroxylum	2873937	Erythroxylum campestre	7284839	NE
2884812	Pouteria torta (Mart.) Radlk.	2884812	Pouteria torta (Mart.) Radlk.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Sapotaceae	8802	Pouteria	2884049	Pouteria torta	2884812	LC
2706079	Andropogon bicornis L.	2706079	Andropogon bicornis L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Andropogon	2706077	Andropogon bicornis	2706079	NE
2732027	Allagoptera campestris (Mart.) Kuntze	2732027	Allagoptera campestris (Mart.) Kuntze	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Arecales	552	Arecaceae	7681	Allagoptera	2732026	Allagoptera campestris	2732027	NE
7831077	Roupala montana Aubl.	7831077	Roupala montana Aubl.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Proteales	400	Proteaceae	2414	Roupala	7286930	Roupala montana	7831077	LC
2701052	Rhynchospora Vahl	2701052	Rhynchospora Vahl	1	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Rhynchospora	2701052			NE
7986727	Caryocar brasiliense Cambess.	7986727	Caryocar brasiliense Cambess.	1	SPECIES	DOUBTFUL	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Caryocaraceae	6647	Caryocar	3189661	Caryocar brasiliense	7986727	NE
4140528	Andropogon selloanus (Hack.) Hack.	4140528	Andropogon selloanus (Hack.) Hack.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Andropogon	2706077	Andropogon selloanus	4140528	NE
2970514	Acosmium subelegans (Mohlenbr.) Yakovlev	5358419	Leptolobium elegans Vogel	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Leptolobium	5348610	Leptolobium elegans	5358419	LC
5418067	Eugenia punicifolia (Kunth) DC.	5418067	Eugenia punicifolia (Kunth) DC.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Myrtaceae	5014	Eugenia	3177662	Eugenia punicifolia	5418067	LC
3173889	Myrcia DC. ex Guill.	3173889	Myrcia DC. ex Guill.	1	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Myrtaceae	5014	Myrcia	3173889			NE
7304229	Nectandra grandiflora Nees & Mart. ex Nees	7304229	Nectandra grandiflora Nees & Mart. ex Nees	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Laurales	407	Lauraceae	6688	Nectandra	3034018	Nectandra grandiflora	7304229	NE
3087817	Chromolaena pungens (Gardner) R.M.King & H.Rob.	3087817	Chromolaena pungens (Gardner) R.M.King & H.Rob.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Chromolaena	7824453	Chromolaena pungens	3087817	NE
7277066	Clematis brasiliana DC.	7277066	Clematis brasiliana DC.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ranunculales	399	Ranunculaceae	2410	Clematis	3033512	Clematis brasiliana	7277066	NE
7638788	Pterocaulon alopecuroides (Lam.) DC.	7638788	Pterocaulon alopecuroides (Lam.) DC.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Pterocaulon	3106645	Pterocaulon alopecuroides	7638788	NE
2932547	Solanum paniculatum L.	2932547	Solanum paniculatum L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Solanales	1176	Solanaceae	7717	Solanum	2928997	Solanum paniculatum	2932547	LC
3087956	Chromolaena squalida (DC.) R.M.King & H.Rob.	3087956	Chromolaena squalida (DC.) R.M.King & H.Rob.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Chromolaena	7824453	Chromolaena squalida	3087956	NE
