"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Imagens","Localidade"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Rubiaceae","Cordiera","concolor","(Cham.) Kuntze","RUBIACEAE Cordiera concolor (Cham.) Kuntze","74645","GBIF","UEC","Baitello, J.B.","775","Native","Ouro","Ouro","https://images.cria.org.br/viewer/UEC065609","Parque Estadual de Jurupará, Fazenda Tucano, na mata próximo a um córrego."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Rubiaceae","Cordiera","myrciifolia","(K.Schum.) C.H.Perss. & Delprete","RUBIACEAE Cordiera myrciifolia (K.Schum.) C.H.Perss. & Delprete","107368","GBIF","SPF","Baitello, J.B.","775","Native","Ouro","Ouro","https://images.cria.org.br/viewer/SPF00107368","Parque Estadual de Jurupará, Fazenda Tucano, na mata próxima a um córrego"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Rubiaceae","Emmeorhiza","umbellata","(Spreng.) K.Schum.","RUBIACEAE Emmeorhiza umbellata (Spreng.) K.Schum.","NY00397244","Splink","NY",,"1229","Native","Ouro","Ouro",,"Parque Estadual de Jurupará, cahoeira do França"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Rubiaceae","Ixora","brevifolia","Benth.","RUBIACEAE Ixora brevifolia Benth.","SPSF00044197","Splink","SPSF",,"860","Native","Latão","Ouro",,"Parque Estadual de Jurupará."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Rubiaceae","Manettia","paraguariensis","Chodat","RUBIACEAE Manettia paraguariensis Chodat","SP0285806","Splink","SP",,"794","Native","Bronze","Ouro",,"Parque Estadual de Jurupará, Caminho de Fazenda Tucano, na orla de mata"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Rubiaceae","Palicourea","forsteronioides","(Müll.Arg.) C.M.Taylor","RUBIACEAE Palicourea forsteronioides (Müll.Arg.) C.M.Taylor","SPSF00019228","Splink","SPSF",,"613","Native","Ouro","Ouro",,"Parque Estadual de Jurupará, Fazenda Tucano."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Rubiaceae","Palicourea","malaneoides","(Müll.Arg.) C.M.Taylor","RUBIACEAE Palicourea malaneoides (Müll.Arg.) C.M.Taylor","3204078","GBIF","MO","Pastore, J.A.","613","Native","Ouro","Ouro",,"Município de Ibiùna, Parque Estadual De Jurupara, estrada de Fazenda Tucano, sobre barranco."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Rubiaceae","Palicourea","ruelliifolia","(Cham. & Schltdl.) Borhidi","RUBIACEAE Palicourea ruelliifolia (Cham. & Schltdl.) Borhidi","SPSF00019240","Splink","SPSF",,"776","Native","Ouro","Ouro",,"Parque Estadual de Jurupará, Fazenda Tucano."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Rubiaceae","Psychotria","carthagenensis","Jacq.","RUBIACEAE Psychotria carthagenensis Jacq.","NY00501677","Splink","NY",,"1223","Native","Ouro","Ouro",,"Parque Estadual de Jurupará, Cachoeira do França"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Rubiaceae","Psychotria","hastisepala","Müll.Arg.","RUBIACEAE Psychotria hastisepala Müll.Arg.","SPSF00044193","Splink","SPSF",,"856","Native","Latão","Ouro",,"Parque Estadual de Jurupará, Base roda D´Água."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Rubiaceae","Rudgea","coriacea","(Spreng.) K.Schum.","RUBIACEAE Rudgea coriacea (Spreng.) K.Schum.","SPSF00044194","Splink","SPSF",,"857","Native","Latão","Ouro",,"Parque Estadual de Jurupará, Base roda D´Água."
