"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Imagens","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Annonaceae","Anaxagorea",,"A.St.-Hil.","ANNONACEAE Anaxagorea A.St.-Hil.","144421","GBIF","UEC","Camargo, R.","355",,"Bronze","High","https://images.cria.org.br/viewer/UEC026897","Fazenda Folha Larga, Trilha no interior da mata."
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Annonaceae","Annona","cacans","Warm.","ANNONACEAE Annona cacans Warm.","45729","GBIF","SPSF","Moura, C.","400","Native","Prata","Low",,"Estação Ecológica Juréia-Itatins"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Annonaceae","Annona","dolabripetala","Raddi","ANNONACEAE Annona dolabripetala Raddi","SMDB014474","Splink","SMDB",,"1267","Native","Ouro","High",,"Estação Ecológica Juréia-Itatins, Caminho do Imperador"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Annonaceae","Annona","glabra","L.","ANNONACEAE Annona glabra L.","SMDB014485","Splink","SMDB",,"1050","Native","Bronze","High",,"Estação Ecológica Juréia-Itatins, restinga junto á foz do Rio Verde"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Annonaceae","Duguetia","lanceolata","A.St.-Hil.","ANNONACEAE Duguetia lanceolata A.St.-Hil.","758","Splink","BCTw",,,"Native","Latão","Low",,
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Annonaceae","Guatteria","australis","A.St.-Hil.","ANNONACEAE Guatteria australis A.St.-Hil.","SP007957","Splink","SP",,"484","Native","Ouro","High",,"Estação Ecológica Juréia-Itatins, Serra da Juréia, caminho do Imperador em direção à praia da Juréia, mata"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Annonaceae","Porcelia","macrocarpa","(Warm.) R.E.Fr.","ANNONACEAE Porcelia macrocarpa (Warm.) R.E.Fr.","SP009086","Splink","SP",,"359","Native","Bronze","High",,"Reserva Ecológica Juréia-Itatins, Trilha do Imperador, Maciço da Juréia"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Annonaceae","Xylopia","brasiliensis","Spreng.","ANNONACEAE Xylopia brasiliensis Spreng.","SMDB014459","Splink","SMDB",,"78","Native","Bronze","High",,"Estação Ecológica Juréia-Itatins, às margens do Pocinho"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Annonaceae","Xylopia","frutescens","Aubl.","ANNONACEAE Xylopia frutescens Aubl.","226019","GBIF","SPF","Feres, F.","7796","Native","Ouro","Low",,"Itapitingui. SP 226, terreno alagado à margem da estrada."
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Annonaceae","Xylopia","langsdorffiana","A.St.-Hil. & Tul.","ANNONACEAE Xylopia langsdorffiana A.St.-Hil. & Tul.","SMDB019641","Splink","SMDB",,"471","Native","Ouro","High",,"Estação Ecológica Juréia-Itatins, Serra da Jureia, Caminho do Imperador, ca. 5Km da balsa do Rio Una"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Apiaceae","Apium","sellowianum","H.Wolff","APIACEAE Apium sellowianum H.Wolff","ESA088052","Splink","ESA",,"30","Naturalized","Latão","Low",,
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Apiaceae","Centella","asiatica","(L.) Urb.","APIACEAE Centella asiatica (L.) Urb.","248038","GBIF","SP","Mamede, M.C.H.","403","Native","Prata","High",,"Estação Ecológica Juréia-Itatins, Trilha próxima à Cachoeira do salto, mata"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Apiaceae","Cyclospermum","leptophyllum","(Pers.) Sprague ex Britton & P.Wilson","APIACEAE Cyclospermum leptophyllum (Pers.) Sprague ex Britton & P.Wilson","31986","GBIF","UEC","Stubblebine, W.H.","13192","Native","Bronze","Low",,"Praia do Grajaú"
