"country","stateProvince","municipality","locality","latitude","longitude","loc.ideal","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer"
"Brazil","São Paulo","São Paulo","PARQUE ESTADUAL DO JARAGUÁ","-23.4631050931196","-46.7657929393445","brazil_sao paulo_sao paulo_parque estadual jaragua","brazil","sao paulo","sao paulo","parque estadual do jaragua",NA,"locality","brazil_sao paulo_sao paulo_parque estadual jaragua","brazil_sao paulo_sao paulo_parque estadual jaragua",-23.462219,-46.763463,"locality"
"Brazil","São Paulo","Campos do Jordão","PARQUE ESTADUAL DOS MANANCIAIS DE CAMPOS DO JORDÃO","-22.7677978777705","-45.5636866173462","brazil_sao paulo_campos jordao_parque estadual mananciais campos jordao","brazil","sao paulo","campos do jordao","parque estadual dos mananciais de campos do jordao",NA,"locality","brazil_sao paulo_campos jordao","brazil_sao paulo_campos jordao",-22.70151972,-45.53304923,"county"
"Brazil","São Paulo","Pindamonhangaba","PARQUE ESTADUAL DOS MANANCIAIS DE CAMPOS DO JORDÃO","-22.7752446411666","-45.5619527712925","brazil_sao paulo_pindamonhangaba_parque estadual mananciais campos jordao","brazil","sao paulo","pindamonhangaba","parque estadual dos mananciais de campos do jordao",NA,"locality","brazil_sao paulo_pindamonhangaba","brazil_sao paulo_pindamonhangaba",-22.87953976,-45.4589989,"county"
"Brazil","São Paulo","Bauru","ESTAÇÃO ECOLÓGICA DE BAURU","-22.2344523598075","-49.085214388052","brazil_sao paulo_bauru_estacao ecologica bauru","brazil","sao paulo","bauru","estacao ecologica de bauru",NA,"locality","brazil_sao paulo_bauru","brazil_sao paulo_bauru",-22.25370412,-49.12646842,"county"
"Brazil","São Paulo","Eldorado","ESTAÇÃO ECOLÓGICA DE XITUÉ","-24.2999513998828","-48.3238997918549","brazil_sao paulo_eldorado_estacao ecologica xitue","brazil","sao paulo","eldorado","estacao ecologica de xitue",NA,"locality","brazil_sao paulo_eldorado","brazil_sao paulo_eldorado",-24.49490556,-48.23324935,"county"
"Brazil","São Paulo","Iporanga","ESTAÇÃO ECOLÓGICA DE XITUÉ","-24.3028921984793","-48.3905333098283","brazil_sao paulo_iporanga_estacao ecologica xitue","brazil","sao paulo","iporanga","estacao ecologica de xitue",NA,"locality","brazil_sao paulo_iporanga","brazil_sao paulo_iporanga",-24.51231726,-48.54624865,"county"
"Brazil","São Paulo","Ribeirão Grande","ESTAÇÃO ECOLÓGICA DE XITUÉ","-24.2834731217433","-48.3320977822953","brazil_sao paulo_ribeirao grande_estacao ecologica xitue","brazil","sao paulo","ribeirao grande","estacao ecologica de xitue",NA,"locality","brazil_sao paulo_ribeirao grande","brazil_sao paulo_ribeirao grande",-24.18888629,-48.35862193,"county"
"Brazil","São Paulo","Apiaí","PARQUE ESTADUAL INTERVALES","-24.3845534621405","-48.5058610950737","brazil_sao paulo_apiai_parque estadual intervales","brazil","sao paulo","apiai","parque estadual intervales",NA,"locality","brazil_sao paulo_apiai","brazil_sao paulo_apiai",-24.4215147,-48.81884868,"county"
"Brazil","São Paulo","Capão Bonito","PARQUE ESTADUAL INTERVALES","-24.2361220785575","-48.1824473107491","brazil_sao paulo_capao bonito_parque estadual intervales","brazil","sao paulo","capao bonito","parque estadual intervales",NA,"locality","brazil_sao paulo_capao bonito","brazil_sao paulo_capao bonito",-24.03890216,-48.28993485,"county"
"Brazil","São Paulo","Eldorado","PARQUE ESTADUAL INTERVALES","-24.2962786560036","-48.2246272041071","brazil_sao paulo_eldorado_parque estadual intervales","brazil","sao paulo","eldorado","parque estadual intervales",NA,"locality","brazil_sao paulo_eldorado","brazil_sao paulo_eldorado",-24.49490556,-48.23324935,"county"
