"Código de barras","Num. Tombo","Coleção","Família","Gênero","Táxon","Coletor","Num. Coleta","Data Coleta","Categoria Tipus","Determinador","Data Determinação","Tipo Coleção","Pais","Estado/Provincia","Cidade","Localidade","Latitude","Longitude","Unidade Conservação","Origem","Status"
"HRCB069866",,"HRCB","ACANTHACEAE","Justicia","ACANTHACEAE Justicia brasiliana Roth","Melo, P.H.A.; Lombardi, J.A.",4579,"//",,,,,,,,,,,"Parque Estadual Turístico do Alto Ribeira","Nativa","LC"
"RB00692998","RB 537418","RB","ACANTHACEAE","Justicia","ACANTHACEAE Justicia brasiliana Roth","M.G.Bovini",758,"//",,,,,,,,,,,"Parque Estadual da Costa do Sol","Nativa","LC"
"RB00726707","RB 555751","RB","ACANTHACEAE","Justicia","ACANTHACEAE Justicia brasiliana Roth","M.G.Bovini",3614,"25/11/2011",,"M.G.Bovini et M.Faria",,,"Brasil",,"Rio de Janeiro","Monumento Natural das ilhas Cagarras, ilha Comprida, mata mais fechada.","-23,0394444","-43,2069444","Monumento Natural do Arquipélago das Ilhas Cagarras","Nativa","LC"
"HRCB53289",,,"ACANTHACEAE","Justicia","ACANTHACEAE Justicia brasiliana Roth","Udulutsch, R.G.",1659,"//",,,,,,,,,,,"Estação Ecológica dos Caetetus","Nativa","LC"
"NY00164792","NA","NY","ACANTHACEAE","Justicia","ACANTHACEAE Justicia cf. calycina (Nees) V.A.W.Graham","D. G. Campbell;",8908,"12/10/1986",,"I. Azevedo","12/5/2020",,"Brazil",,,"Upper Río Moa, base of Serra Azul","-7,48000000000000043","-73,6500000000000057","Parque Nacional da Serra do Divisor","Nativa","NE"
"ESA013134",,"ESA","ACANTHACEAE","Justicia","ACANTHACEAE Justicia carnea Lindl.","Moraes, P.L.R.",806,"//",,"Kameyama, C.",2006,,"Brasil",,"São Miguel Arcanjo","Parque Estadual Carlos Botelho",,,"Parque Estadual Carlos Botelho","Nativa","NE"
"FURB13666","FURB 22390","FURB","ACANTHACEAE","Justicia","ACANTHACEAE Justicia carnea Lindl.","Cadorin, T.J.;Grosch, B.,Zimmermann, R.",1642,"10/3/2010",,"Cadorin, TJ","30/3/2010",,"Brasil",,"Florianópolis","Parque Municipal da Lagoa do Peri.","-27,7241666666666653","-48,5349999999999966","Monumento Natural Municipal da Lagoa do Peri","Nativa","NE"
"UNOP011180",,"UNOP","ACANTHACEAE","Justicia","ACANTHACEAE Justicia carnea Lindl.","Hammes, J.K.; Hentz Junior, E.J.; Temponi, L.G.; Lombardi, J. & Marcusso, G.",272,"//",,,,,,,,,,,"Parque Estadual Turístico do Alto Ribeira","Nativa","NE"
"HSTM007840","HSTM 7840","HSTM","ACANTHACEAE","Justicia","ACANTHACEAE Justicia cayennensis (Nees) Lindau","Giacomin, L.L.",2992,"18/11/2016",,"Silva, F.A.","27/2/2020",,"Brasil",,"Belterra","Floresta Nacional do Tapajós. Trilha partindo da BR-163, logo após o igarapé do km 84 (próximo ao alojamendo do LBA).","-3,0541667","-54,9263889","Floresta Nacional do Tapajós","Nativa","NE"
"RB00549236",,"RB","ACANTHACEAE","Justicia","ACANTHACEAE Justicia clausseniana (Nees) Profice","C.N. Fraga",2120,"//",,,,,,,,,,,"Parque Estadual do Forno Grande","Nativa","EN"
