"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Fungi",,"Indeterminada",,,"NA Indeterminada","R010084947","REFLORA",,,"662",,"Ouro","PARNA Serra da Bocaína. Trilha para cahoeira do Bracuí. Parque Nacional da Serra da Bocaina","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Fabaceae","Inga","virescens","Benth.","FABACEAE Inga virescens Benth.","BOTU040250","SPLINK","BOTU","Martinelli, G.","4664","Native","Ouro","Parque Nacional da Serra da Bocaina, próxima ao marco 22","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Asteraceae","Inulopsis","scaposa","(DC.) O.Hoffm.","ASTERACEAE Inulopsis scaposa (DC.) O.Hoffm.","UEC121808","SPLINK","UEC","Freitas, L.","328","Native","Ouro","Parque Nacional da Serra da Bocaina","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Convolvulaceae","Jacquemontia","cataractae","Krapov.","CONVOLVULACEAE Jacquemontia cataractae Krapov.","ICN00035038","SPLINK","ICN","Pastore, M.","277","Native","Ouro","Parque Nacional da Serra da Bocaina, Beira da Estrada Francisca Mendes Ribeiro, às 15h.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Acanthaceae","Justicia","sellowiana","Profice","ACANTHACEAE Justicia sellowiana Profice","RB00598805",,"RB","Carvalho, A.M.V.","17","Native","Ouro","Acampamento a 35 km da cidade. Parque Nacional Serra da Bocaina","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Verbenaceae","Lantana","fucata","Lindl.","VERBENACEAE Lantana fucata Lindl.","SPF00112409","SPLINK","SPF","Rossi, L.","1553","Native","Ouro","Parque Nacional da Serra da Bocaina","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Melastomataceae","Lavoisiera","pulchella","Cham.","MELASTOMATACEAE Lavoisiera pulchella Cham.","RB00860540",,"RB","Baumgratz, J.F.A.","1364","Native","Ouro","Na Zona de Amortecimento do Parque Nacional da Serra da Bocaina.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Melastomataceae","Leandra","acutiflora","(Naudin) Cogn.","MELASTOMATACEAE Leandra acutiflora (Naudin) Cogn.","SPF00099671","SPLINK","SPF","Rossi, L.","1608","Native","Ouro","Parque Nacional da Serra da Bocaina","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Melastomataceae","Leandra","aurea","(Cham.) Cogn.","MELASTOMATACEAE Leandra aurea (Cham.) Cogn.","RB00673418",,"RB","Baumgratz, J.F.A.","1172","Native","Ouro","na margem da estrada (rodovia Francisca Mendes Ribeiro - SP 221). Floresta Ombrófila Densa Alto-Montana, alterada;. Parque Nacional da Serra da Bocaina; Lageado; próximo ao posto de entrada do Parque.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Melastomataceae","Leandra","calvescens","(Triana) Cogn.","MELASTOMATACEAE Leandra calvescens (Triana) Cogn.","UEC063042","SPLINK","UEC","Almeda, F.","9839","Native","Ouro","Road from São José do Barreiro (SP-221) to the entrance of Parque Nacional Serra da Bocaina between km 24 and km 27.","Não"
