"","data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","institutionCode","basisOfRecord","identifiedBy","verbatimLatitude","verbatimLongitude","collectionID","specificepithet","recordedBy","decimalLongitude","decimalLatitude","modified","occurrenceRemarks","coordinatePrecision","recordNumber","barcode","continentocean","minimumelevationinmeters","maximumelevationinmeters","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","phylum","class","order","infraspecificepithet","preparationtype","individualcount","previouscatalognumber","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetName","eventDate","fieldNotes","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","X","gbifID","language","license","publisher","references","rightsHolder","institutionID","ownerInstitutionCode","occurrenceID","individualCount","establishmentMeans","georeferenceVerificationStatus","occurrenceStatus","preparations","associatedOccurrences","otherCatalogNumbers","previousIdentifications","fieldNumber","startDayOfYear","endDayOfYear","higherGeography","continent","typeStatus","taxonID","acceptedNameUsageID","higherClassification","genericName","specificEpithet","infraspecificEpithet","verbatimTaxonRank","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","species","verbatimScientificName","protocol","lastParsed","lastCrawled","repatriated","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","iucnRedListCategory","associatedMedia","minimumElevationInMeters","maximumElevationInMeters","geodeticDatum","imageCollectionCode","duplicates","recordedByExtra","dateCollected","verbatimElevationMax","measurementUnit","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"Amphilophium elongatum","speciesLink","HRCB","68003","Amphilophium elongatum","Plantae","Bignoniaceae","Amphilophium","2015","04","07","Brasil","São Paulo","Porto Ferreira","Parque Estadual Porto Ferreira","UNESP-RC","PreservedSpecimen","Taxonomia de Lianas","22°27'17.7""S","044°36'25.6""W","15","elongatum","Taxonomia de Lianas","-44.607111","-22.454917","2025-02-04T07:59:37","<nO>Cerradão. Trepadeira prêensil com gavinha simples. Fruto imaturo esverdeado.</nO>",,"13","HRCB068003",,,,"(Vahl) L.G.Lohmann",,,,,,,,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"HRCB",,"Lianas, T.","13","2015","Lianas, T.","n.d.",,"Lianas",,"brazil","sao paulo","porto ferreira","parque estadual porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-22.454917,-44.607111,"coord_original","miliseconds","ok_same_resolution","Amphilophium elongatum","(Vahl) L.G.Lohmann","possibly_ok","Bignoniaceae","Amphilophium elongatum","(Vahl) L.G.Lohmann","species","name accepted","bfo-112465",,,"Amphilophium elongatum (Vahl) L.G.Lohmann","Amphilophium","Bignoniaceae","low","Amphilophium elongatum"
"Anemia phyllitidis","speciesLink","BHCB-SL","141939","Anemia phyllitidis","Plantae","Anemiaceae","Anemia","2010","04","08","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira;, Trilha do Poção.","UFMG","PreservedSpecimen","Lombardi, JA","-21.816667","-47.416667","453","phyllitidis","Lombardi, JA; Oliveira, APC","-47.416667","-21.816667","2022-12-26T10:30:00","<nO>Borda de trilha em cerradão e mata semidecídua. Terrestre. Duplicatas: 1. Florística vascular não-arbórea do Parque Estadual de Porto Ferreira.</nO>",,"7781",,"América","520","600","(L.) Sw.","2010","04",,,,,,,,,"SPLINK","Porto Ferreira","2010-04-NA",,,,,,,,,,,,,"BHCB",,"Lombardi, J.A.","7781","2010","Lombardi, J.A.","2010","Oliveira, A.P.C.","Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","ok_same_resolution","Anemia phyllitidis","(L.) Sw.","possibly_ok","Anemiaceae","Anemia phyllitidis","(L.) Sw.","species","name accepted","bfo-90641",,,"Anemia phyllitidis (L.) Sw.","Anemia","Anemiaceae","low","Anemia phyllitidis"
"Anemia tomentosa","speciesLink","BHCB-SL","153399","Anemia tomentosa anthriscifolia","Plantae","Anemiaceae","Anemia","2011","03","17","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira;, Trilha da Pesquisa.","UFMG","PreservedSpecimen","Salino, A","-21.816667","-47.416667","453","tomentosa","Lombardi, JA; Oliveira, APC","-47.416667","-21.816667","2022-07-26T19:38:03","<nO>Amostra em silica. Borda de trilha em cerradão e mata semidecídua. Terrestre.</nO>",,"8082",,"América","520","600","(Sav.) Sw.",,,,,,,"anthriscifolia",,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"BHCB",,"Lombardi, J.A.","8082","2011","Salino, A.","n.d.","Oliveira, A.P.C.","Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","ok_same_resolution","Anemia tomentosa","(Sav.) Sw.","not_Genus_epithet_format","Anemiaceae","Anemia tomentosa","(Sav.) Sw.","species","name misspelled","bfo-90658",,,"Anemia tomentosa (Sav.) Sw.","Anemia","Anemiaceae","low","Anemia tomentosa"
"Anemia tomentosa var. anthriscifolia","gbif","BHCB-SL","153399","Anemia tomentosa var. anthriscifolia (Schrad.) Mickel","Plantae","Anemiaceae","Anemia","2011","3","17","Brasil","São Paulo",,"Parque Estadual de Porto Ferreira;, Trilha da Pesquisa.","UFMG","PRESERVED_SPECIMEN","Salino, A",,,"https://specieslink.net/col/453",,"Lombardi, JA; Oliveira, APC","-47.416667","-21.816667","2022-07-26 19:38:03","Amostra em silica. Borda de trilha em cerradão e mata semidecídua. Terrestre.",,"8082",,,,,"(Sav.) Sw.",,,,"Tracheophyta","Polypodiopsida","Schizaeales",,,,,"GBIF","Porto Ferreira",,"Anemia tomentosa var. anthriscifolia (Schrad.) Mickel",,"BR",,"2011-03-17",,"ACCEPTED","VARIETY",,,,,,,,,,,,,,,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality","414628","2449423322",,"CC_BY_4_0","Universidade Federal de Minas Gerais","https://specieslink.net/guid/453/153399","Herbário da UFMG - Samambaias e Licófitas",,"Universidade Federal de Minas Gerais","https://specieslink.net/guid/453/153399",,"native",,"PRESENT",,,,,,"76","76",,"SOUTH_AMERICA",,,"7535912",,"Anemia","tomentosa","anthriscifolia",,"ed8e1590-62b5-48a8-8654-4ecc13554f57","BR","2025-01-05 15:00:31.932","560","40","CONTINENT_DERIVED_FROM_COORDINATES;CONTINENT_INVALID;INSTITUTION_MATCH_NONE",,TRUE,FALSE,"7535912","7535912","6","7707728","7228684","7229401","6626","2650255","8367147","Anemia tomentosa","Anemia tomentosa anthriscifolia","EML","2025-01-05 15:00:31.932","2025-01-05 15:00:09.954",FALSE,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","BRA","Brazil","BRA.25_1","São Paulo","BRA.25.457_2","Porto Ferreira",,,"520","600","WGS84",,,,,,,,,"brazil_sao paulo_porto ferreira_parque estadual porto ferreira","Brazil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira","cncflora",TRUE,-21.816667,-47.416667,"coord_original","minutes","ok_same_resolution","Anemia tomentosa var. anthriscifolia","(Schrad.) Mickel","variety|name_w_authors","Anemiaceae","Anemia tomentosa var. anthriscifolia","(Schrad.) Mickel","variety","name accepted","bfo-90659",,,"Anemia tomentosa var. anthriscifolia (Schrad.) Mickel","Anemia","Anemiaceae","unknown","Anemia tomentosa"
"Anemopaegma chamberlaynii","speciesLink","CEN","85802","Anemopaegma chamberlaynii","Plantae","Bignoniaceae","Anemopaegma","2010","04","08",,"SP","PORTO FERREIRA","Parque Estadual de Porto Ferreira, trilha do poção, ca. 21º49`, 47º25`, 520 - 600 m","Cenargen","PreservedSpecimen","A. P. C. Oliveira","-21,816666","-47,416666","399","chamberlaynii","Júlio Antônio Lombardi","-47.416666","-21.816666","2024-09-19T13:44:36","<nO>Borda de trilha em cerradão e mata semidecídua, liana, folíolos cartáceos, cálice amarelo-esverdeado, corola amarelo claro, Doação HERBARIUM RIOCLARENSE HRCB (52399) Florística vascular não-arborea do Parque Estadual de Porto Ferreira, SP , Brasil</nO>",,"7745","CEN00085802",,"520","520","(Sims) Bureau & K.Schum.","2010","07",,,,,,"Exsicatas","1",,"SPLINK","PORTO FERREIRA","2010-07-NA",,,,,,,,,,,,,"CEN",,"Lombardi, J.A.","7745","2010","Oliveira, A.P.C.","2010",,"Lombardi",,,"sp","porto ferreira","parque estadual de porto ferreira","no_info",,,,,"no_info",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816666,-47.416666,"coord_original","seconds","ok_same_resolution","Anemopaegma chamberlaynii","(Sims) Bureau & K.Schum.","possibly_ok","Bignoniaceae","Anemopaegma chamberlaynii","(Sims) Bureau & K.Schum.","species","name accepted","bfo-112506",,,"Anemopaegma chamberlaynii (Sims) Bureau & K.Schum.","Anemopaegma","Bignoniaceae","low","Anemopaegma chamberlaynii"
"Annona coriacea","speciesLink","SPSF","27349","Annona coriacea","Plantae","Annonaceae","Annona","1997","11","18","Brasil","SP","Porto Ferreira","Parque Estadual","IF","PreservedSpecimen","J.C.Lopes",,,"13","coriacea","E.P.Dickfeldt","-47.470001","-21.85","2024-08-06T09:15:00","<nO>COLETA: XLS: SPSFAntigo;</nO>","13859","20","SPSF00027349","América do Sul",,,"Mart.","2010","10","27","Magnoliophyta","Magnoliopsida","Magnoliales",,,,,"SPLINK","Porto Ferreira","2010-10-27",,,,,,,,,,,,,"SPSF",,"Dickfeldt, E.P.","20","1997","Lopes, J.C.","2010",,"Dickfeldt",,"brazil","sao paulo","porto ferreira","parque estadual","locality","brazil_sao paulo_porto ferreira_parque estadual","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.470001,"coord_original","miliseconds","ok_same_resolution","Annona coriacea","Mart.","possibly_ok","Annonaceae","Annona coriacea","Mart.","species","name accepted","bfo-117066",,,"Annona coriacea Mart.","Annona","Annonaceae","high","Annona coriacea"
"Annona dioica","speciesLink","SPSF","20851","Annona dioica","Plantae","Annonaceae","Annona","1995","10","05","Brasil","SP","Porto Ferreira","P.E.Instituto Florestal","IF","PreservedSpecimen",,,,"13","dioica","J.E.A.Bertoni","-47.470001","-21.85","2024-08-06T09:15:00","<nO>COLETA: XLS: SPSFAntigo; GEOGRAFIA: cerrado&nf;;</nO>","13859","345","SPSF00020851","América do Sul",,,"A.St.-Hil.",,,,"Magnoliophyta","Magnoliopsida","Magnoliales",,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"SPSF",,"Bertoni, J.E.A.","345","1995","s.n.","n.d.",,"Bertoni",,"brazil","sao paulo","porto ferreira","parque estadualinstituto florestal","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.470001,"coord_original","miliseconds","check_local.2municip.","Annona dioica","A.St.-Hil.","possibly_ok","Annonaceae","Annona dioica","A.St.-Hil.","species","name accepted","bfo-117098",,,"Annona dioica A.St.-Hil.","Annona","Annonaceae","unknown","Annona dioica"
"Apocynaceae","speciesLink","HRCB","68062","Apocynaceae","Plantae","Apocynaceae",,"2016","10","13","Brasil","São Paulo","Porto Ferreira","Parque Estadual Porto Ferreira","UNESP-RC","PreservedSpecimen",,,,"15",,"Taxonomia de Lianas","-47.470001","-21.85","2025-02-04T07:58:33","<nO>Trepadeira lenhosa escandente. Frutos verdes.</nO>","13859","72","HRCB068062",,,,,,,,,,,,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"HRCB",,"Lianas, T.","72","2016","s.n.","n.d.",,"Lianas",,"brazil","sao paulo","porto ferreira","parque estadual porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.470001,"coord_original","miliseconds","ok_same_resolution","Apocynaceae","Juss.","family_as_genus","Apocynaceae","Apocynaceae","Juss.","family","name accepted","bfo-48",,,"Apocynaceae Juss.",,"Apocynaceae","unknown",
"Aristolochia labiata","speciesLink","HRCB","67998","Aristolochia labiata","Plantae","Aristolochiaceae","Aristolochia","2015","04","08","Brasil","São Paulo","Porto Ferreira","Parque Estadual Porto Ferreira","UNESP-RC","PreservedSpecimen","Taxonomia de Lianas","22°27'17.7""S","044°36'25.6""W","15","labiata","Taxonomia de Lianas","-44.607111","-22.454917","2025-02-04T07:58:58","<nO>Floresta Estacional Semidecidual (borda). Trepadeira. Flor vinosa com manchas verdes e fruto marrom.</nO>",,"8","HRCB067998",,,,"Willd.",,,,,,,,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"HRCB",,"Lianas, T.","8","2015","Lianas, T.","n.d.",,"Lianas",,"brazil","sao paulo","porto ferreira","parque estadual porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-22.454917,-44.607111,"coord_original","miliseconds","ok_same_resolution","Aristolochia labiata","Willd.","possibly_ok","Aristolochiaceae","Aristolochia labiata","Willd.","species","name accepted","bfo-15758",,,"Aristolochia labiata Willd.","Aristolochia","Aristolochiaceae","low","Aristolochia labiata"
"Aspidosperma ramiflorum","speciesLink","HUEFS","169156","Aspidosperma ramiflorum","Plantae","Apocynaceae","Aspidosperma","2002","02","14","Brasil","São Paulo","Porto Ferreira","Sítio em área particular área particular, próximo ao Parque Estadual.","UEFS","PreservedSpecimen","R.Cielo-Filho",,,"204","ramiflorum","Bertoni, J.E.A.","-47.470001","-21.85","2025-04-30T13:57:18","<nO>guatambu</nO>","13859","410","HUEFS0169156",,,,"Müll.Arg.","2006","08",,"Angiospermae","Asteranae","Gentianales",,,,,"SPLINK","Porto Ferreira","2006-08-NA",,,,,,,,,,,,,"HUEFS",,"Bertoni, J.E.A.","410","2002","Cielo Filho, R.","2006",,"Bertoni",,"brazil","sao paulo","porto ferreira","sitio em area particular area particular, proximo ao parque estadual","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.470001,"coord_original","miliseconds","check_local.2municip.","Aspidosperma ramiflorum","Müll.Arg.","possibly_ok","Apocynaceae","Aspidosperma ramiflorum","Müll.Arg.","species","name accepted","bfo-4532",,,"Aspidosperma ramiflorum Müll.Arg.","Aspidosperma","Apocynaceae","medium","Aspidosperma ramiflorum"
"Asplenium auriculatum","speciesLink","UEC","62342","Asplenium auriculatum","Plantae","Aspleniaceae","Asplenium","1992","09","29","Brazil","São Paulo","Porto Ferreira","Parque Estadual","UNICAMP","S","Salino, A","0","0","2","auriculatum","Colli, S","-47.470001","-21.85","2024-11-25T11:37:10","<nO>Epífita 20cm de altura.</nO>","13859","s.n.","UEC052610",,,,"Sw.","1993","03",,"Pteridophyta",,,,,,,"SPLINK","Porto Ferreira","1993-03-NA",,,,,,,,,,,,,"UEC",,"Colli, S.","s.n.","1992","Salino, A.","1993",,"Colli",,"brazil","sao paulo","porto ferreira","parque estadual","locality","brazil_sao paulo_porto ferreira_parque estadual","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.470001,"coord_original","miliseconds","ok_same_resolution","Asplenium auriculatum","Sw.","possibly_ok","Aspleniaceae","Asplenium auriculatum","Sw.","species","name accepted","bfo-90678",,,"Asplenium auriculatum Sw.","Asplenium","Aspleniaceae","low","Asplenium auriculatum"
