"Nome.da.UC","Municípios.Abrangidos","NumRecords","NumTaxons","NumSpecies","NumGenus","NumFamilies"
"ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS","CANANÉIA (SP) - ITANHAÉM (SP) - PERUÍBE (SP)",4,4,4,3,2
"ESTAÇÃO ECOLÓGICA GOVERNADOR MARIO COVAS","SOROCABA (SP)",0,0,0,0,0
"ESTAÇÃO ECOLÓGICA IBICATU","PIRACICABA (SP)",4,4,4,4,3
"ESTAÇÃO ECOLÓGICA ITABERÁ","ITABERÁ (SP)",0,0,0,0,0
"ESTAÇÃO ECOLÓGICA ITAPEVA","ITAPEVA (SP)",4,2,2,2,2
"ESTAÇÃO ECOLÓGICA JATAÍ","LUÍS ANTÔNIO (SP)",180,118,105,94,44
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS","IGUAPE (SP) - ITARIRI (SP) - MIRACATU (SP) - PERUÍBE (SP)",6961,1195,1118,608,161
"ESTAÇÃO ECOLÓGICA MATA DO JACARÉ","BROTAS (SP)",0,0,0,0,0
"ESTAÇÃO ECOLÓGICA MICO LEÃO PRETO","EUCLIDES DA CUNHA PAULISTA (SP) - MARABÁ PAULISTA (SP) - PRESIDENTE EPITÁCIO (SP) - TEODORO SAMPAIO (SP)",0,0,0,0,0
"ESTAÇÃO ECOLÓGICA MUNICIPAL DO CAETÊ","BRAGANÇA PAULISTA (SP)",0,0,0,0,0
"ESTAÇÃO ECOLÓGICA MUNICIPAL DO PIRAJIBU","SOROCABA (SP)",0,0,0,0,0
"ESTAÇÃO ECOLÓGICA MUNICIPAL GUARANI","RIBEIRÃO PRETO (SP)",0,0,0,0,0
"ESTAÇÃO ECOLÓGICA TUPINAMBÁS","SÃO SEBASTIÃO (SP) - UBATUBA (SP)",28,9,8,5,6
"ESTAÇÃO ECOLÓGICA VALINHOS","VALINHOS (SP)",0,0,0,0,0
"FLORESTA ESTADUAL DE ASSIS","ASSIS (SP)",311,131,125,103,45
"FLORESTA ESTADUAL DE GUARULHOS","GUARULHOS (SP)",1,1,1,1,1
"FLORESTA ESTADUAL DO NOROESTE PAULISTA","MIRASSOL (SP) - SÃO JOSÉ DO RIO PRETO (SP)",0,0,0,0,0
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE","RIO CLARO (SP) - SANTA GERTRUDES (SP)",245,148,141,105,41
"FLORESTA ESTADUAL PEDERNEIRAS","PEDERNEIRAS (SP)",0,0,0,0,0
"FLORESTA ESTADUAL SERRA DÁGUA","CAMPINAS (SP)",0,0,0,0,0
"FLORESTA NACIONAL DE CAPÃO BONITO","BURI (SP) - CAPÃO BONITO (SP)",0,0,0,0,0
"FLORESTA NACIONAL DE IPANEMA","ARAÇOIABA DA SERRA (SP) - CAPELA DO ALTO (SP) - IPERÓ (SP)",670,290,259,203,74
"FLORESTA NACIONAL DE LORENA","LORENA (SP)",2,1,1,1,1
"MONUMENTO NATURAL ESTADUAL DA PEDRA DO BAÚ","SÃO BENTO DO SAPUCAÍ (SP)",5,2,2,2,2
"MONUMENTO NATURAL ESTADUAL DA PEDRA GRANDE","ATIBAIA (SP) - BOM JESUS DOS PERDÕES (SP) - MAIRIPORÃ (SP) - NAZARÉ PAULISTA (SP)",0,0,0,0,0
"MONUMENTO NATURAL ESTADUAL MANTIQUEIRA PAULISTA","CRUZEIRO (SP) - PIQUETE (SP)",0,0,0,0,0
"MONUMENTO NATURAL MUNICIPAL DO PICO DO ITAGUARÉ","CRUZEIRO (SP)",0,0,0,0,0
"PARQUE ESTADUAL ÁGUAS DA BILLINGS","SÃO BERNARDO DO CAMPO (SP)",67,32,32,27,20
"PARQUE ESTADUAL ÁGUAS DA PRATA","ÁGUAS DA PRATA (SP)",NA,NA,NA,NA,NA
"PARQUE ESTADUAL ALBERTO LÖFGREN","SÃO PAULO (SP)",85,57,55,45,25
