"Nome.da.UC","NumRecords","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumOuro","NumPrata","NumBronze","NumLatao","NumNoMatch"
"PARQUE NATURAL MUNICIPAL CULTURA NEGRA - SÍTIO DA CANDINHA",1,1,1,1,1,0,0,1,0,0
"PARQUE NATURAL MUNICIPAL DISTRITO DE SANTA TEREZINHA",4,3,3,2,2,0,0,0,3,0
"PARQUE NATURAL MUNICIPAL DOURADO",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL DOUTOR RUI CALAZANS DE ARAÚJO",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL ENGENHO SAO JORGE DOS ERASMOS",103,33,28,27,15,0,0,33,0,0
"PARQUE NATURAL MUNICIPAL ESTORIL - VIRGÍLIO SIMIONATO",8,8,8,7,6,0,0,5,3,0
"PARQUE NATURAL MUNICIPAL FAZENDA DO CARMO",511,136,133,95,46,65,9,42,20,2
"PARQUE NATURAL MUNICIPAL GROTA DE MIRASSOL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL ITAIM",45,21,21,20,13,6,7,5,3,0
"PARQUE NATURAL MUNICIPAL JACEGUAVA",40,34,34,28,18,12,4,17,1,0
"PARQUE NATURAL MUNICIPAL JATOBÁS",86,75,75,67,34,15,56,4,0,0
"PARQUE NATURAL MUNICIPAL JUQUERIQUERÊ",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL MORRO DO OURO",124,50,42,26,21,10,0,25,15,9
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA",1431,475,451,277,120,112,44,253,66,3
"PARQUE NATURAL MUNICIPAL OLESIO DOS SANTOS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL PEDROSO",1,1,1,1,1,0,0,1,0,0
"PARQUE NATURAL MUNICIPAL SALTO BOTELHO",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL SÃO ROQUE",427,162,161,110,50,67,2,55,38,0
"PARQUE NATURAL MUNICIPAL TRABIJU",99,61,45,52,36,18,0,23,20,0
"PARQUE NATURAL MUNICIPAL VALE DO ITAIM",1,1,1,1,1,0,0,1,0,0
"PARQUE NATURAL MUNICIPAL VARGINHA",114,61,59,54,35,4,6,49,2,1
"REFÚGIO DE VIDA SILVESTRE AIMORÉS",1729,392,380,261,89,178,13,164,37,5
