"Nome_UC","Localidade","Municipio","Estado","Freq"
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO","praia do tombo","Guarujá","São Paulo",88
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO","estrada que leva a trilha do obuseiro","Guarujá","São Paulo",52
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO","praia do guaiuba","Guarujá","São Paulo",48
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO","Trilha Praia Branca","Guarujá","São Paulo",47
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO","Ilha das Palmas","Guarujá","São Paulo",46
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO","área A","Guarujá","São Paulo",42
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO","Prainha Branca","Guarujá","São Paulo",36
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO","Mangue","Guarujá","São Paulo",35
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO","Km 13 - Mangue","Guarujá","São Paulo",35
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO","Km 13","Guarujá","São Paulo",35
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO","Trilha que leva a Praia de Fora (Obuseiro)","Guarujá","São Paulo",32
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO","trilha que leva à Praia de Fora","Guarujá","São Paulo",32
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO","Forte dos Andradas, Trilha que leva a Praia de Fora (Obuseiro)","Guarujá","São Paulo",32
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO","Forte dos Andradas, trilha que leva à Praia de Fora","Guarujá","São Paulo",32
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO","praia do eden","Guarujá","São Paulo",30
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO","Forte dos Andradas, estrada que leva a trilha do Obuseiro","Guarujá","São Paulo",30
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO","rodovia guaruja-bertioga","Guarujá","São Paulo",25
"ÁREA DE PROTEÇÃO AMBIENTAL DE CAMPINAS","Mata do Ribeirão Cachoeira","Campinas","São Paulo",1069
"ÁREA DE PROTEÇÃO AMBIENTAL DE CAMPINAS","mata ribeirao cachoeira","Campinas","São Paulo",999
"ÁREA DE PROTEÇÃO AMBIENTAL DE CAMPINAS","fazenda sao vicente","Campinas","São Paulo",386
"ÁREA DE PROTEÇÃO AMBIENTAL DE CAMPINAS","Mata do Macuco","Campinas","São Paulo",244
"ÁREA DE PROTEÇÃO AMBIENTAL DE CAMPINAS","Campinas/Itatiba","Campinas","São Paulo",214
"ÁREA DE PROTEÇÃO AMBIENTAL DE CAMPINAS","9ha","Campinas","São Paulo",189
"ÁREA DE PROTEÇÃO AMBIENTAL DE CAMPINAS","Campinas","","São Paulo",177
"ÁREA DE PROTEÇÃO AMBIENTAL DE CAMPINAS","Floresta Estacional Semidecídua","Campinas","São Paulo",159
"ÁREA DE PROTEÇÃO AMBIENTAL DE CAMPINAS","mata capoeira grande","Campinas","São Paulo",144
"ÁREA DE PROTEÇÃO AMBIENTAL DE CAMPINAS","Condomínio Colinas do Atibaia","Campinas","São Paulo",140
