"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"PARQUE ESTADUAL DA SERRA DO MAR","Ferns and Lycophytes","Pteridaceae","Polytaenium","lineatum","(Sw.) J.Sm.","PTERIDACEAE Polytaenium lineatum (Sw.) J.Sm.","59028","Splink","BHCB","Salino, A.","6636","Native","Bronze","Parque Estadual da Serra do Mar; Núcleo Picinguaba","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Bryophytes","Hydrangeaceae","Polytrichadelphus","magellanicus","(Hedw.) Mitt.","HYDRANGEACEAE Polytrichadelphus magellanicus (Hedw.) Mitt.","PEL1024759","Splink","PEL","Affonso, P.","392","Unknown","Bronze","Parque Estadual da Serra do Mar, Núcleo Curucutu, trilha do rio Mambu, barranco da trilha.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Bryophytes","Asteraceae","Porotrichum","lancifrons","(Hampe) Mitt.","ASTERACEAE Porotrichum lancifrons (Hampe) Mitt.","UB1332190","Splink","UB","Peralta, D.F.","14589","Native","Bronze","Parque Estadual da Serra do Mar, Núcleo Santa Virgínia, trilha do Pau de Bala, Mata Atlântica.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Sapotaceae","Pouteria","gardneri","(Mart. & Miq.) Baehni","SAPOTACEAE Pouteria gardneri (Mart. & Miq.) Baehni","UEC039437","Splink","UEC","Marchiori, N.M.","524","Native","Bronze","Parque Estadual da Serra do Mar","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Sapotaceae","Pouteria","gardneriana","(A.DC.) Radlk.","SAPOTACEAE Pouteria gardneriana (A.DC.) Radlk.","UEC031182","Splink","UEC","Stefani, E.J.F.","307","Native","Bronze","Parque Estadual da Serra do Mar.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Sapotaceae","Pouteria","guianensis","Aubl.","SAPOTACEAE Pouteria guianensis Aubl.","UEC081426","Splink","UEC","Stefani, E.J.F.","29","Native","Bronze","Parque Estadual da Serra do Mar.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Sapotaceae","Pouteria","oxypetala","T.D.Penn.","SAPOTACEAE Pouteria oxypetala T.D.Penn.","161067","GBIF","UEC","Stefani, E.J.F.","170","Native","Bronze","Parque Estadual da Serra do Mar.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Sapotaceae","Pouteria","psammophila","(Mart.) Radlk.","SAPOTACEAE Pouteria psammophila (Mart.) Radlk.","56473","Splink","IAC","Souza, A.C.O.","31","Native","Bronze","Parque Estadual da Serra do Mar, Núcleos Santa Virgínia/Picinguaba, trilha da Pipoca","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Sapotaceae","Pouteria","venosa","(Mart.) Baehni","SAPOTACEAE Pouteria venosa (Mart.) Baehni","50450","Splink","IAC","Gomes, J.A.M.A.","563","Native","Bronze","Fazenda Capricórnio, Parcela I (Parque Estadual da Serra do Mar, Núcleo Picinguaba)","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Sapotaceae","Pradosia","lactescens","(Vell.) Radlk.","SAPOTACEAE Pradosia lactescens (Vell.) Radlk.","49025","Splink","IAC","Gomes, J.A.M.A.","380","Native","Bronze","Fazenda Capricórnio, Parcela G (Parque Estadual da Serra do Mar, Núcleo Picinguaba)","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Orchidaceae","Prescottia","densiflora","(Brongn.) Lindl.","ORCHIDACEAE Prescottia densiflora (Brongn.) Lindl.","UEC001648","Splink","UEC","Singer, R.B.","s.n.","Native","Bronze","Parque Estadual da Serra do Mar, Núcleo Picinguaba.","Não"
